rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
245,frame_0303.jpg,121.2,0.2414,0.2638,0.125,0.36,9,1,False,False
246,frame_0313.jpg,125.2,0.2366,0.3823,0.125,0.04,3,1,False,False
247,frame_0185.jpg,74.0,0.2332,0.3594,0.125,0.08,9,1,False,False
248,frame_0172.jpg,68.8,0.2318,0.3036,0.0,0.4,5,0,False,False
249,frame_0198.jpg,79.2,0.229,0.282,0.0,0.44,3,0,False,False
250,frame_0196.jpg,78.4,0.2028,0.2617,0.0,0.36,3,0,False,False
251,frame_0098.jpg,39.2,0.2007,0.3104,0.125,0.04,5,1,False,False
252,frame_0093.jpg,37.2,0.1937,0.2165,0.125,0.24,5,1,False,False
253,frame_0092.jpg,36.8,0.1896,0.1923,0.125,0.28,6,1,False,False
254,frame_0191.jpg,76.4,0.1883,0.2376,0.125,0.16,5,1,False,False
255,frame_0324.jpg,129.6,0.1846,0.3373,0.0,0.08,8,0,False,False
256,frame_0311.jpg,124.4,0.1828,0.2746,0.125,0.04,6,1,False,False
